"utm_source","utm_medium","utm_campaign","total_cost"
yandex,cpc,prof-frontend,1347257
yandex,cpc,prof-python,999249
yandex,cpc,prof-java,743027
yandex,cpc,freemium,424524
vk,cpc,prof-python,382330
vk,cpc,prof-data-analytics,268394
vk,cpc,prof-java,250133
vk,cpc,freemium-frontend,244994
vk,cpc,prof-frontend,215994
yandex,cpc,base-java,190472
vk,cpc,freemium-python,153497
yandex,cpc,prof-data-analytics,125605
yandex,cpc,base-python,117338
vk,cpc,freemium-java,99527
yandex,cpc,prof-professions-brand,78011
